name,file size,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
/tests/nameref15.sub,1311,656,328,219,164,132,110,94,82,73,66
/bashhist.h,2918,116,58,39,39,39,20,20,20,20,20
/tests/dollar-star2.sub,163,656,328,219,164,132,110,94,82,73,66
/tests/exec13.sub,377,656,328,219,164,132,110,94,82,73,66
/tests/arith-for.tests,1407,656,328,219,164,132,110,94,82,73,66
/tests/set-x.tests,322,649,326,217,163,131,109,94,82,73,66
/tests/nameref13.sub,783,656,328,219,164,132,110,94,82,73,66
/tests/quote.tests,1623,704,352,235,176,142,118,101,88,79,71
/tests/trap.tests,1438,656,328,219,164,132,110,94,82,73,66
/tests/array5.sub,382,656,328,219,164,132,110,94,82,73,66
/tests/nameref8.sub,634,656,328,219,164,132,110,94,82,73,66
/tests/nameref14.sub,955,656,328,219,164,132,110,94,82,73,66
/tests/extglob1a.sub,250,656,328,219,164,132,110,94,82,73,66
/tests/alias3.sub,159,12,6,4,3,3,2,2,2,2,2
/tests/invert.tests,417,656,328,219,164,132,110,94,82,73,66
/tests/trap4.sub,1015,656,328,219,164,132,110,94,82,73,66
/tests/source5.sub,294,657,329,220,165,133,111,95,83,74,67
/include/typemax.h,2890,727,364,243,182,146,122,104,91,81,73
/tests/case4.sub,302,656,328,219,164,132,110,94,82,73,66
/tests/getopts4.sub,535,656,328,219,164,132,110,94,82,73,66
/tests/dollar-star5.sub,125,656,328,219,164,132,110,94,82,73,66
/bashline.h,2398,227,115,77,69,63,40,37,36,34,32
/tests/alias4.sub,1133,866,433,289,217,174,145,124,109,97,87
/tests/attr.tests,541,656,328,219,164,132,110,94,82,73,66
/doc/rbash.0,2352,184,97,68,51,43,37,30,28,25,24
/tests/arith8.sub,373,656,328,219,164,132,110,94,82,73,66
/tests/new-exp9.sub,507,656,328,219,164,132,110,94,82,73,66
/tests/lastpipe2.sub,497,656,328,219,164,132,110,94,82,73,66
/tests/nameref12.sub,1352,656,328,219,164,132,110,94,82,73,66
/tests/attr2.sub,220,656,328,219,164,132,110,94,82,73,66
/tests/array17.sub,1327,656,328,219,164,132,110,94,82,73,66
/lib/sh/input_avail.c,2317,1560,783,524,394,316,264,228,200,179,161
/tests/alias.tests,672,680,340,227,170,137,114,98,85,76,69
/tests/redir.right,1807,777,391,264,201,162,137,118,104,94,85
/version.c,2911,16,8,6,6,6,4,4,4,4,4
/tests/exportfunc.tests,2004,656,328,219,164,132,110,94,82,73,66
/tests/nquote1.tests,1340,656,328,219,164,132,110,94,82,73,66
/tests/comsub-posix2.sub,440,656,328,219,164,132,110,94,82,73,66
/tests/exec10.sub,1285,656,328,219,164,132,110,94,82,73,66
/builtins/shift.def,2672,418,218,147,113,93,78,68,59,53,49
/tests/assoc2.sub,286,656,328,219,164,132,110,94,82,73,66
/tests/getopts9.sub,99,656,328,219,164,132,110,94,82,73,66
/tests/intl.tests,764,656,328,219,164,132,110,94,82,73,66
/tests/array23.sub,892,656,328,219,164,132,110,94,82,73,66
/tests/exp12.sub,540,656,328,219,164,132,110,94,82,73,66
/tests/appendop.tests,887,656,328,219,164,132,110,94,82,73,66
/tests/arith1.sub,438,656,328,219,164,132,110,94,82,73,66
/po/af.gmo,1321,33,19,15,11,9,9,6,6,6,6
/tests/history.tests,1454,780,390,261,195,158,131,113,98,87,80
/tests/read5.sub,402,656,328,219,164,132,110,94,82,73,66
/tests/vredir7.sub,213,656,328,219,164,132,110,94,82,73,66
/tests/tilde.tests,1272,702,351,235,176,142,118,101,88,79,71
/tests/dollar-star3.sub,270,656,328,219,164,132,110,94,82,73,66
/tests/dollar-at-star4.sub,1061,656,328,219,164,132,110,94,82,73,66
/tests/assoc1.sub,233,656,328,219,164,132,110,94,82,73,66
/tests/jobs.right,2855,251,129,92,74,64,57,51,48,45,42
/tests/coproc.tests,1019,656,328,219,164,132,110,94,82,73,66
/tests/nameref11.sub,1831,656,328,219,164,132,110,94,82,73,66
/tests/dstack2.tests,551,656,328,219,164,132,110,94,82,73,66
/tests/alias1.sub,289,656,328,219,164,132,110,94,82,73,66
/tests/exp6.sub,718,656,328,219,164,132,110,94,82,73,66
/lib/readline/doc/history.texi,2266,2,1,1,1,1,1,1,1,1,1
/tests/quote2.sub,709,656,328,219,164,132,110,94,82,73,66
/builtins/return.def,1932,12,6,5,4,3,3,2,2,2,2
/tests/case.right,718,2,1,1,1,1,1,1,1,1,1
/lib/sh/strtoumax.c,2840,14,7,5,5,5,3,3,3,3,3
/tests/extglob2.tests,2592,656,328,219,164,132,110,94,82,73,66
/tests/rhs-exp.tests,2136,656,328,219,164,132,110,94,82,73,66
/tests/lastpipe.tests,1018,661,331,222,166,134,112,96,84,75,68
/tests/dollar-star9.sub,721,656,328,219,164,132,110,94,82,73,66
/tests/case2.sub,626,656,328,219,164,132,110,94,82,73,66
/tests/shopt.tests,1637,933,467,312,234,188,157,134,117,104,94
/tests/comsub-eof.tests,179,30,15,10,8,6,5,5,4,4,3
/tests/arith6.sub,762,656,328,219,164,132,110,94,82,73,66
/alias.h,2225,62,31,21,21,21,11,11,11,11,11
/tests/new-exp10.sub,1789,656,328,219,164,132,110,94,82,73,66
/flags.h,2666,63,32,22,20,19,12,11,11,11,10
/tests/type.tests,1410,656,328,219,164,132,110,94,82,73,66
/tests/posixexp4.sub,380,656,328,219,164,132,110,94,82,73,66
/lib/readline/examples/rltest.c,2146,4,2,2,1,1,1,1,1,1,1
/tests/globstar.tests,1005,683,342,228,171,138,115,98,86,76,69
/lib/malloc/watch.h,1202,8,4,3,3,3,2,2,2,2,2
/tests/cond-regexp2.sub,792,656,328,219,164,132,110,94,82,73,66
/tests/exec7.sub,487,656,328,219,164,132,110,94,82,73,66
/tests/comsub.right,617,2,1,1,1,1,1,1,1,1,1
/tests/comsub-posix3.sub,143,656,328,219,164,132,110,94,82,73,66
/tests/comsub1.sub,875,656,328,219,164,132,110,94,82,73,66
/tests/posix2.right,376,8,4,4,4,4,4,4,4,4,4
/tests/jobs4.sub,380,656,328,219,164,132,110,94,82,73,66
/tests/redir4.sub,723,656,328,219,164,132,110,94,82,73,66
/tests/type4.sub,328,656,328,219,164,132,110,94,82,73,66
/tests/dollar-star8.sub,322,656,328,219,164,132,110,94,82,73,66
/lib/sh/winsize.c,2794,14,7,5,5,5,3,3,3,3,3
/tests/arith5.sub,960,790,395,264,198,158,132,113,99,88,79
/support/mksignames.c,2669,8,4,3,3,3,2,2,2,2,2
/tests/dollar-at-star7.sub,364,656,328,219,164,132,110,94,82,73,66
/builtins/colon.def,1407,146,75,50,39,31,27,24,21,18,16
/lib/glob/glob.h,1680,186,94,63,50,42,32,28,25,23,22
/tests/redir5.sub,349,656,328,219,164,132,110,94,82,73,66
/tests/nquote.tests,1668,656,328,219,164,132,110,94,82,73,66
/tests/herestr.right,468,18,9,6,5,4,3,3,3,2,2
/examples/functions/shcat2,174,10,6,4,4,2,2,2,2,2,2
/tests/appendop1.sub,207,656,328,219,164,132,110,94,82,73,66
/tests/new-exp6.sub,425,656,328,219,164,132,110,94,82,73,66
/lib/glob/glob_loop.c,2107,310,166,115,89,73,62,55,50,45,41
/tests/varenv9.sub,1077,656,328,219,164,132,110,94,82,73,66
/tests/nameref5.sub,919,656,328,219,164,132,110,94,82,73,66
/tests/posixpipe.tests,384,656,328,219,164,132,110,94,82,73,66
/tests/set-x1.sub,282,656,328,219,164,132,110,94,82,73,66
/lib/readline/posixdir.h,2305,1,1,1,1,1,1,1,1,1,1
/tests/glob.right,2451,861,434,292,219,176,148,126,111,100,91
/examples/loadables/push.c,2736,8,5,4,3,3,3,3,3,3,3
/siglist.h,1544,9,5,4,4,3,2,2,2,2,2
/tests/histexp5.sub,555,656,328,219,164,132,110,94,82,73,66
/po/LINGUAS,167,3,2,1,1,1,1,1,1,1,1
/tests/func4.sub,403,656,328,219,164,132,110,94,82,73,66
/tests/type3.sub,192,656,328,219,164,132,110,94,82,73,66
/tests/varenv5.sub,217,656,328,219,164,132,110,94,82,73,66
/tests/nquote3.tests,1521,656,328,219,164,132,110,94,82,73,66
/tests/iquote.tests,1791,656,328,219,164,132,110,94,82,73,66
/tests/comsub-eof.right,695,74,37,25,19,15,13,11,10,9,8
/tests/trap6.sub,144,656,328,219,164,132,110,94,82,73,66
/tests/builtins5.sub,1391,656,328,219,164,132,110,94,82,73,66
/tests/func.tests,1881,656,328,219,164,132,110,94,82,73,66
/tests/exec6.sub,925,656,328,219,164,132,110,94,82,73,66
/tests/extglob4.sub,540,656,328,219,164,132,110,94,82,73,66
/tests/comsub4.sub,140,656,328,219,164,132,110,94,82,73,66
/tests/getopts1.sub,365,656,328,219,164,132,110,94,82,73,66
/tests/dbg-support.sub,661,656,328,219,164,132,110,94,82,73,66
/tests/dstack.tests,1163,658,330,221,166,134,112,95,83,74,67
/tests/dstack.right,1285,26,13,13,13,13,13,13,13,13,13
/tests/new-exp5.sub,576,656,328,219,164,132,110,94,82,73,66
/examples/functions/csh-compat,834,1,1,1,1,1,1,1,1,1,1
/tests/extglob1.sub,559,656,328,219,164,132,110,94,82,73,66
/tests/cond-regexp1.sub,1474,656,328,219,164,132,110,94,82,73,66
/tests/getopts.right,1547,18,9,9,6,6,6,6,6,6,6
/tests/type2.sub,101,656,328,219,164,132,110,94,82,73,66
/tests/redir7.sub,763,656,328,219,164,132,110,94,82,73,66
